site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s009,st_s009,63.9490202052524,-124.124815486923,1995,124.958685279745
st_s009,st_s009,63.9490202052524,-124.124815486923,1985,97.3399538598004
st_s009,st_s009,63.9490202052524,-124.124815486923,1986,109.617198570542
st_s009,st_s009,63.9490202052524,-124.124815486923,1987,116.819609447227
st_s009,st_s009,63.9490202052524,-124.124815486923,1988,86.2249203172299
st_s009,st_s009,63.9490202052524,-124.124815486923,1990,85.2569226280528
st_s009,st_s009,63.9490202052524,-124.124815486923,1991,100.666542493318
st_s009,st_s009,63.9490202052524,-124.124815486923,1992,111.506093943386
st_s009,st_s009,63.9490202052524,-124.124815486923,1993,90.6975106074879
st_s009,st_s009,63.9490202052524,-124.124815486923,1994,86.7683753516331
st_s009,st_s009,63.9490202052524,-124.124815486923,1996,162.51913977614
st_s009,st_s009,63.9490202052524,-124.124815486923,1998,52.32138051955
st_s009,st_s009,63.9490202052524,-124.124815486923,1999,76.5403026135837
st_s009,st_s009,63.9490202052524,-124.124815486923,2003,125.607852436667
st_s009,st_s009,63.9490202052524,-124.124815486923,2004,107.986087970816
st_s009,st_s009,63.9490202052524,-124.124815486923,2005,100.277063882168
st_s009,st_s009,63.9490202052524,-124.124815486923,2006,109.070947700491
st_s009,st_s009,63.9490202052524,-124.124815486923,2007,116.881612784557
st_s009,st_s009,63.9490202052524,-124.124815486923,2008,170.070124188651
st_s009,st_s009,63.9490202052524,-124.124815486923,2009,299.220528852487
st_s009,st_s009,63.9490202052524,-124.124815486923,2010,93.0436937001572
st_s009,st_s009,63.9490202052524,-124.124815486923,2011,104.854806625281
st_s009,st_s009,63.9490202052524,-124.124815486923,1984,125.102518397058
st_s009,st_s009,63.9490202052524,-124.124815486923,1989,116.067746686344
st_s009,st_s009,63.9490202052524,-124.124815486923,1997,201.111483234901
st_s009,st_s009,63.9490202052524,-124.124815486923,2019,85.855054974648
st_s009,st_s009,63.9490202052524,-124.124815486923,2020,134.554175581896
st_s009,st_s009,63.9490202052524,-124.124815486923,2021,143.915252904686
st_s009,st_s009,63.9490202052524,-124.124815486923,2022,129.046222501382
st_s009,st_s009,63.9490202052524,-124.124815486923,2023,85.2209864158954
st_s009,st_s009,63.9490202052524,-124.124815486923,2000,88.4790351840801
st_s009,st_s009,63.9490202052524,-124.124815486923,2001,104.148213674319
st_s009,st_s009,63.9490202052524,-124.124815486923,2013,113.368340828878
st_s009,st_s009,63.9490202052524,-124.124815486923,2014,97.157531251622
st_s009,st_s009,63.9490202052524,-124.124815486923,2015,113.581434749916
st_s009,st_s009,63.9490202052524,-124.124815486923,2016,141.941686290387
st_s009,st_s009,63.9490202052524,-124.124815486923,2017,88.5470834397723
st_s009,st_s009,63.9490202052524,-124.124815486923,2018,149.374322268107
st_s009,st_s009,63.9490202052524,-124.124815486923,2002,114.29160365193
st_s009,st_s009,63.9490202052524,-124.124815486923,2012,134.085541974622
st_s009,st_s009,63.9490202052524,-124.124815486923,2024,116.656824305645
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1986,36.5990970782973
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1995,49.7952259025072
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,2008,21.5998472255411
